"Namespace","ResourceType","Locations","Aliases","ApiVersions"
"Microsoft.AAD","DomainServices","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.AISupercomputer","accounts/jobs","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.AlertsManagement","smartDetectorAlertRules","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.AlertsManagement","actionRules","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.AnalysisServices","servers","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/apis/diagnostics","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/apis/issues","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/apis/issues/attachments","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/apis/issues/comments","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/apis/operations","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/apis/operations/policies","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/apis/operations/tags","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/apis/policies","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/apis/releases","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/apis/schemas","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/apis/tags","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/authorizationServers","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/backends","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/diagnostics","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/groups","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/identityProviders","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/loggers","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/notifications","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/openidConnectProviders","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/policies","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/portalsettings","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
