
Namespace                         ResourceType                                                                                         Ali
                                                                                                                                       ase
                                                                                                                                       s
---------                         ------------                                                                                         ---
Microsoft.AAD                     DomainServices                                                                                       {M…
Microsoft.AISupercomputer         accounts/jobs                                                                                        {M…
Microsoft.AlertsManagement        smartDetectorAlertRules                                                                              {M…
Microsoft.AlertsManagement        actionRules                                                                                          {M…
Microsoft.AnalysisServices        servers                                                                                              {M…
Microsoft.ApiManagement           service                                                                                              {M…
Microsoft.ApiManagement           service/apis/diagnostics                                                                             {M…
Microsoft.ApiManagement           service/apis/issues                                                                                  {M…
Microsoft.ApiManagement           service/apis/issues/attachments                                                                      {M…
Microsoft.ApiManagement           service/apis/issues/comments                                                                         {M…
Microsoft.ApiManagement           service/apis/operations                                                                              {M…
Microsoft.ApiManagement           service/apis/operations/policies                                                                     {M…
Microsoft.ApiManagement           service/apis/operations/tags                                                                         {M…
Microsoft.ApiManagement           service/apis/policies                                                                                {M…
Microsoft.ApiManagement           service/apis/releases                                                                                {M…
Microsoft.ApiManagement           service/apis/schemas                                                                                 {M…
Microsoft.ApiManagement           service/apis/tags                                                                                    {M…
Microsoft.ApiManagement           service/authorizationServers                                                                         {M…
Microsoft.ApiManagement           service/backends                                                                                     {M…
Microsoft.ApiManagement           service/diagnostics                                                                                  {M…
Microsoft.ApiManagement           service/groups                                                                                       {M…
Microsoft.ApiManagement           service/identityProviders                                                                            {M…
Microsoft.ApiManagement           service/loggers                                                                                      {M…
Microsoft.ApiManagement           service/notifications                                                                                {M…
Microsoft.ApiManagement           service/openidConnectProviders                                                                       {M…
Microsoft.ApiManagement           service/policies                                                                                     {M…
Microsoft.ApiManagement           service/portalsettings                                                                               {M…
Microsoft.ApiManagement           service/products                                                                                     {M…
Microsoft.ApiManagement           service/products/policies                                                                            {M…
Microsoft.ApiManagement           service/products/tags                                                                                {M…
Microsoft.ApiManagement           service/properties                                                                                   {M…
Microsoft.ApiManagement           service/subscriptions                                                                                {M…
Microsoft.ApiManagement           service/tags                                                                                         {M…
Microsoft.ApiManagement           service/templates                                                                                    {M…
Microsoft.ApiManagement           service/users                                                                                        {M…
Microsoft.ApiManagement           service/apis                                                                                         {M…
Microsoft.ApiManagement           service/apis/tagDescriptions                                                                         {M…
Microsoft.ApiManagement           service/apiVersionSets                                                                               {M…
Microsoft.ApiManagement           service/caches                                                                                       {M…
Microsoft.ApiManagement           service/gateways                                                                                     {M…
Microsoft.ApiManagement           service/namedValues                                                                                  {M…
Microsoft.ApiManagement           service/certificates                                                                                 {M…
Microsoft.ApiManagement           service/tenant                                                                                       {M…
Microsoft.AppConfiguration        configurationStores                                                                                  {M…
Microsoft.AppConfiguration        configurationStores/privateEndpointConnections                                                       {M…
Microsoft.AppPlatform             Spring                                                                                               {M…
Microsoft.AppPlatform             Spring/apps                                                                                          {M…
Microsoft.AppPlatform             Spring/apps/deployments                                                                              {M…
Microsoft.AppPlatform             Spring/apps/bindings                                                                                 {M…
Microsoft.AppPlatform             Spring/apps/domains                                                                                  {M…
Microsoft.AppPlatform             Spring/certificates                                                                                  {M…
Microsoft.AppPlatform             Spring/configServers                                                                                 {M…
Microsoft.AppPlatform             Spring/monitoringSettings                                                                            {M…
Microsoft.Attestation             attestationProviders/privateEndpointConnections                                                      {M…
Microsoft.Authorization           roleAssignments                                                                                      {M…
Microsoft.Authorization           roleDefinitions                                                                                      {M…
Microsoft.Authorization           locks                                                                                                {M…
Microsoft.Authorization           policyDefinitions                                                                                    {M…
Microsoft.Authorization           policySetDefinitions                                                                                 {M…
Microsoft.Authorization           policyAssignments                                                                                    {M…
Microsoft.Authorization           policyExemptions                                                                                     {M…
Microsoft.Automanage              configurationProfileAssignments                                                                      {M…
Microsoft.Automation              automationAccounts                                                                                   {M…
Microsoft.Automation              automationAccounts/runbooks                                                                          {M…
Microsoft.Automation              automationAccounts/configurations                                                                    {M…
Microsoft.Automation              automationAccounts/webhooks                                                                          {M…
Microsoft.Automation              automationAccounts/softwareUpdateConfigurations                                                      {M…
Microsoft.Automation              automationAccounts/jobs                                                                              {M…
Microsoft.Automation              automationAccounts/privateEndpointConnections                                                        {M…
Microsoft.Automation              automationAccounts/variables                                                                         {M…
Microsoft.Automation              automationAccounts/certificates                                                                      {M…
Microsoft.Automation              automationAccounts/compilationjobs                                                                   {M…
Microsoft.Automation              automationAccounts/connections                                                                       {M…
Microsoft.Automation              automationAccounts/connectionTypes                                                                   {M…
Microsoft.Automation              automationAccounts/credentials                                                                       {M…
Microsoft.Automation              automationAccounts/jobSchedules                                                                      {M…
Microsoft.Automation              automationAccounts/modules                                                                           {M…
